InspectionDateAndId,gaze_endpoint_std_x,gaze_endpoint_std_y,gaze_endpoint_std_combined
20241009144951_126,11.85522113,15.1083315,19.20437317
20241009145220_128,12.39451045,13.22691325,18.12664126
20241009145521_130,12.93871552,12.67002872,18.10911337
20241009145620_131,12.37538136,10.10815905,15.97889055
20241009145632_132,12.16604771,14.10180077,18.62454031
20241009150015_133,11.94565723,14.16406408,18.52888118
20241009150252_135,11.83453662,13.76719042,18.15466301
20241009150320_136,11.8728642,13.85239602,18.24428075
20241009150417_137,12.99410836,14.29143918,19.31559178
20241009150719_139,12.62706851,13.74416153,18.66399838
20241009150826_140,12.11697892,14.04432641,18.54896985
20241009150907_141,11.88693842,13.89496423,18.28576867
20241009150955_142,12.1131423,15.46999685,19.64813016
20241009151242_143,11.92508136,14.11959848,18.48162944
20241009151400_144,11.74404981,13.94982727,18.23514154
20241009151614_146,12.38481206,14.21307402,18.85192411
20241009151709_147,12.33411156,14.47998572,19.02104872
20241009152049_149,12.01524192,13.9368393,18.40112845
20241009152123_151,12.01813251,13.67591695,18.2062136
20241009152427_153,10.76032516,14.82184641,18.31588733
20241009152439_154,12.04047397,14.02724297,18.486118
20241009152619_155,13.319446,13.02930585,18.63251064
20241009152816_156,12.32727369,14.54609212,19.06699957
20241009152839_157,13.25648444,13.40087464,18.84987589
20241009152941_158,9.917917467,13.54861272,16.79077108
20241009152944_159,11.91634543,14.1112903,18.46964543
20241009153242_160,11.72150271,13.76599124,18.08026937
20241009153346_162,12.50276254,13.55213306,18.43852981
20241009153614_163,12.09524522,14.10745544,18.58266009
20241009153708_164,12.54410991,13.16029431,18.18098016
20241009153810_165,12.76723936,13.23942905,18.39252247
20241009154214_166,14.10679727,16.29090385,21.54983243
20241009154359_167,11.81374819,14.02276017,18.3358242
20241009154422_168,13.3535376,13.23105377,18.79834435
20241009154712_169,12.27114567,15.02518915,19.39941559
20241009154821_170,11.74927291,14.11384338,18.36425846
20241009154932_171,12.04535568,14.05695886,18.51185258
20241009155328_172,12.36841615,13.96305124,18.65327098
20241009155402_173,12.69073511,14.00631077,18.90056875
20241009155734_174,13.16409501,13.12361108,18.58823728
20241009155739_175,11.93510857,14.48770795,18.77073516
20241009155805_176,11.97110697,13.94473642,18.3783317
20241009155813_177,11.96436817,14.72837103,18.97553738
20241009160110_178,12.01783545,13.88354367,18.36249312
20241009160159_179,11.81315144,14.85546559,18.97986841
20241015102359_180,13.24298855,12.96875557,18.53551636
20241015102736_182,10.6721271,15.52745671,18.84134307
20241015103008_183,10.29118016,16.19356355,19.18697187
20241015103315_184,11.90072507,14.17117085,18.5053868
20241015103327_185,11.88248491,14.17555071,18.49701829
20241015103543_186,11.57459338,14.37031948,18.45202683
20241015103656_187,10.7017992,13.72598515,17.40491811
20241015103701_188,12.09127277,13.9615019,18.46949952
20241015104417_193,11.1990264,14.29293727,18.15781507
20241015104427_194,11.96651796,13.69669769,18.18782779
20241015104747_196,10.3996437,13.61211708,17.13015822
20241015104852_197,12.88018605,9.451091815,15.9756793
20241015105031_198,11.84630288,13.89503263,18.25943109
20241015105226_200,12.66882825,13.20616701,18.3003294
20241015105505_201,12.54428096,13.76668607,18.62473168
20241015105652_203,12.11248111,13.73927969,18.31611327
20241015110109_204,12.79310805,13.36249474,18.49918591
20241015110132_205,12.10863514,13.97773322,18.49313577
20241015110306_206,12.08286806,14.26851907,18.69722806
20241015110331_207,12.41307549,13.87642927,18.61826341
20241015110457_208,13.15800372,13.29246066,18.70354438
20241015110529_209,11.91598299,14.00952168,18.39177393
20241015110708_210,12.08393596,14.49447576,18.87091243
20241015110715_211,12.47431313,13.64230431,18.48569596
20241015111213_213,12.73666865,13.85914226,18.82281999
20241015111524_217,12.23937631,13.80933936,18.45264713
20241015111749_220,12.14967287,14.10400244,18.61551599
20241015112130_223,12.93909788,12.94217709,18.30082517
20241015112146_224,11.75063993,14.05882513,18.32288468
20241015112600_226,12.59600403,13.32687752,18.33752933
20241015112619_227,12.47995526,13.17878507,18.15019722
20241015112713_229,12.8692429,13.38506236,18.56817997
20241015113037_230,12.04489571,13.97889857,18.45234722
20241015113117_232,12.30910808,13.80666994,18.49698021
20241015113241_233,11.33821736,13.11374731,17.33567251
20241015113318_234,11.96217631,14.05110957,18.45338295
20241015113523_235,11.99613396,14.18011094,18.57371197
20241015113539_236,11.77704473,13.86065085,18.18835959
20241015113711_237,11.91764548,14.00708481,18.39099504
20241015113906_238,11.76036011,12.8200265,17.39710175
20241015114215_240,12.22253682,14.35861155,18.85630218
20241015114315_241,11.97055203,14.01624366,18.43228695
