InspectionDateAndId,less_than_sensitivity_count,mean_velocity,max_velocity,std_velocity,mean_velocity_x,max_velocity_x,std_velocity_x,mean_velocity_y,max_velocity_y,std_velocity_y,mean_acceleration,max_acceleration,std_acceleration,mean_acceleration_x,max_acceleration_x,std_acceleration_x,mean_acceleration_y,max_acceleration_y,std_acceleration_y,mean_jerk,max_jerk,std_jerk,mean_jerk_x,max_jerk_x,std_jerk_x,mean_jerk_y,max_jerk_y,std_jerk_y,manhattan_distance_sum,manhattan_distance_mean,euclidean_distance_sum,euclidean_distance_mean,gaze_endpoint_std_x,gaze_endpoint_std_y,gaze_endpoint_std_combined,exclude_initial_seconds
20241009105642_20,7,29.81492009,304.2649271,35.97356932,0.21771395,218.0952306,27.09667079,0.001707044,304.03,38.06245105,2510.809171,22828.91752,2677.011274,-6.383909923,12116.4017,1759.72641,-4.823792831,22601.82222,3220.846316,264899.2982,2916217.422,280337.8222,245.7272216,1008545.918,182559.2047,618.0262049,2898452.014,339753.7743,175864.5412,44.23152444,143958.1099,36.20676807,31.06069787,13.32187964,33.79703284,5
20241009110028_22,1,15.27039759,166.4916883,25.43114033,0.673673956,161.088,21.45871751,0.64418782,163.929,20.45929054,1433.011917,7822.622849,1714.304865,-5.954287313,6748.936224,1396.031387,1.216766068,7790.236686,1744.541131,174353.1805,906539.5326,194189.7437,634.889197,765798.7313,161352.3573,-245.1639525,895533.3165,205118.604,31865.50188,23.02420656,25215.3496,18.21918324,12.49764601,14.01936229,18.78120536,5
20241009110048_23,1,15.93417914,125.0954014,20.91982114,-0.646141259,108.4385714,18.09694384,-0.063819424,125.0954,19.06871872,1318.472579,6280.913913,1352.602717,0.330034596,5221.032845,1182.280822,3.059354687,5873.061224,1473.128182,145916.4862,882818.4992,142966.8756,61.15437863,527102.1769,127274.8203,-106.5137633,728192.4198,159788.152,32962.49155,22.51536308,26315.09803,17.97479374,12.83127838,13.68967086,18.76296333,5
20241009110346_24,2,15.21778446,208.5709223,26.45216121,-0.654210219,166.1746154,21.4955932,0.770148197,184.2090769,21.63830285,1487.935239,8781.536797,1717.997322,-0.497209375,7841.798817,1471.208898,-1.257841976,7320.118343,1732.341948,183920.9747,1084544.111,196291.3541,563.7760839,949708.6937,173539.0256,204.4118143,1082662.153,205526.3184,31367.4214,22.37333909,24883.22467,17.74837709,11.69776816,13.98966699,18.23591408,5
20241009110727_26,7,14.1884751,197.6814975,20.82386354,0.455919865,106.0762143,16.32449485,0.276822663,194.3113333,19.18782147,1156.665435,18644.42584,1442.882807,0.938203859,5262.722222,911.2824758,5.29687716,17921.44898,1609.136736,122726.5154,2080713.45,150694.847,19.0306067,582108.6063,93671.40814,164.8321633,2006104.671,170283.2178,34774.90891,23.35453923,26882.0341,18.05375024,12.45074217,13.87866627,18.64506257,5
20241009110926_27,3,21.02022937,286.6395736,30.00676876,-0.003830325,281.7804118,29.45262892,-0.278398273,128.49,21.78810096,1671.84205,13267.52946,1686.015184,4.615368302,11623.29389,1574.714244,12.21017527,13160.61801,1777.022144,172928.5876,1408710.823,168828.0259,614.9761167,1062551.23,157608.8577,-719.9750765,1399602.445,183209.5799,38433.95632,20.10144159,31644.86238,16.55066024,11.33589537,12.9959411,17.24520249,5
20241009110948_28,8,27.67484945,247.2331335,34.67929143,0.556865001,150.0100714,28.62255534,0.175773734,236.7664286,33.89629591,2781.3514,20490.48916,2622.342695,10.4699652,9779.044444,2140.978993,-2.80592788,20489.81267,3166.810427,341167.0306,2298032.955,308955.3149,-476.1717991,1046918.616,253431.1721,152.2468715,2294646.48,384214.4199,31985.07744,22.65232113,25410.56598,17.99615155,11.57172655,14.31684505,18.4086096,5
20241009111206_29,8,13.87447871,120.4259528,18.08385454,-0.789030905,92.21142857,16.09257393,0.426743992,108.6626667,16.11680298,1118.172866,6717.984731,1117.872318,5.840304737,3956.14167,973.1425166,-7.603124963,6402.278107,1246.134345,121872.2711,869956.2241,117805.0588,-810.007788,556666.3253,102391.4046,886.4103778,813475.7752,135075.6854,29204.81064,22.69216056,23443.87045,18.21590555,11.91420237,14.2620807,18.58373385,5
20241009111357_31,2,27.68680528,329.0599778,31.76780165,-0.430299285,150.094,25.48224049,-1.057241263,327.3615385,33.54258355,2233.476493,17839.07423,2018.178737,-0.435717799,12640.94791,1777.551279,9.236084633,16247.23181,2429.339131,241782.1059,1691558.5,214841.5161,160.9503396,1457739.173,191094.0836,-502.853773,1553762.714,260956.3875,66081.13531,19.55063175,52720.87698,15.5978926,10.65833936,10.98570202,15.30639888,5
20241009111801_32,1,24.590151,362.8951091,38.1690497,-0.021191913,354.9046667,38.35136187,-0.214838452,150.6534375,24.30387457,1589.793878,12964.53355,1464.315395,-0.263172984,12964.52489,1457.262325,-7.133329384,9971.809724,1596.245505,163181.7441,890186.4053,137985.6056,232.2048313,848938.6782,139598.7548,931.3630111,866196.7773,161801.0361,32242.97022,23.01425426,25076.33954,17.89888618,12.61606414,13.45994746,18.44817769,5
