InspectionDateAndId,direction_changes_count,direction_changes_mean,direction_changes_std,direction_change_freq_mean,direction_change_freq_std,direction_changes_min,direction_changes_max,direction_change_freq_min,direction_change_freq_max
20241015135432_277,1,770.0,,24.323214454938878,,,,,
20241015135818_278,1,0.0,,0.0,,,,,
20241015140004_279,1,968.0,,24.581629802686713,,,,,
20241015140620_283,1,0.0,,0.0,,,,,
20241015141324_289,1,710.0,,21.061999406704242,,,,,
20241015141528_290,1,874.0,,24.82319861399074,,,,,
20241015141723_291,1,486.0,,14.673913043478262,,,,,
20241015141910_292,1,731.0,,24.601198088443155,,,,,
20241015142003_294,1,0.0,,0.0,,,,,
20241015142319_296,1,0.0,,0.0,,,,,
20241015143136_301,1,514.0,,17.131049193440873,,,,,
20241015143331_302,1,587.0,,18.3535002970328,,,,,
20241015143351_303,1,750.0,,19.16883913510198,,,,,
20241015143359_304,1,0.0,,0.0,,,,,
20241015143505_305,1,542.0,,18.972940805824905,,,,,
20241015143818_307,1,1068.0,,34.239548602205694,,,,,
20241015144000_309,1,685.0,,21.96005514057641,,,,,
20241015144103_310,1,759.0,,22.95825771324864,,,,,
20241015144408_311,1,572.0,,19.756838905775076,,,,,
20241015144448_312,1,1489.0,,44.7698367359211,,,,,
20241015144500_313,1,514.0,,17.90691192865106,,,,,
20241015144558_314,1,985.0,,22.956092104036543,,,,,
20241015144800_315,1,673.0,,23.385919799847105,,,,,
20241015144952_316,1,935.0,,27.838980527600786,,,,,
20241015145223_318,1,483.0,,16.854520710472137,,,,,
20241015145350_319,1,564.0,,16.981813802240154,,,,,
20241015145645_322,1,670.0,,22.66576454668471,,,,,
20241015145734_323,1,982.0,,27.629283664397054,,,,,
20241015150133_324,1,0.0,,0.0,,,,,
20241015150413_327,1,667.0,,18.477477976619205,,,,,
20241015150759_330,1,0.0,,0.0,,,,,
20241015151508_334,1,645.0,,22.25365719017389,,,,,
20241015151807_336,1,910.0,,19.96708721886999,,,,,
20241015151923_337,1,583.0,,20.413165266106443,,,,,
20241015152015_338,1,677.0,,18.285436473638722,,,,,
20241015152031_339,1,678.0,,23.016600468479478,,,,,
20241015152420_340,1,1244.0,,31.56078749746296,,,,,
20241015152436_341,1,634.0,,21.3001847807828,,,,,
20241015152539_342,1,586.0,,20.17697896222842,,,,,
20241015152912_344,1,842.0,,25.602821783683524,,,,,
20241015152958_345,1,722.0,,24.30894582673984,,,,,
20241015153130_346,1,675.0,,19.301707128763834,,,,,
20241015153136_347,1,655.0,,18.43460640004503,,,,,
20241015153546_349,1,732.0,,25.145997938852627,,,,,
20241015153548_350,1,909.0,,25.041322314049587,,,,,
20241015153814_351,1,755.0,,26.646431848662385,,,,,
20241015153944_352,1,699.0,,24.426040465457596,,,,,
20241015154544_353,1,735.0,,21.132834962622198,,,,,
20241015154704_354,1,730.0,,18.870363189866872,,,,,
20241015154941_356,1,587.0,,20.138602991628925,,,,,
20241015155112_358,1,1445.0,,32.79097737536025,,,,,
20241015155249_359,1,685.0,,24.179315213554535,,,,,
20241015160536_362,1,770.0,,22.435243728329596,,,,,
20241015160620_363,1,0.0,,0.0,,,,,
20241015160731_364,1,804.0,,24.575131434160657,,,,,
20241015160931_366,1,0.0,,0.0,,,,,
20241015160939_367,1,949.0,,26.771609117580685,,,,,
20241015161456_371,1,630.0,,19.686884784850474,,,,,
20241015161817_373,1,7417.0,,153.34518690043004,,,,,
20241015162052_374,1,1057.0,,26.240659367940218,,,,,
20241016100845_379,1,866.0,,25.4287056612638,,,,,
20241016101220_381,1,567.0,,18.247940267765188,,,,,
20241016101616_384,1,543.0,,18.720264772805624,,,,,
20241016102243_388,1,813.0,,23.79628274549978,,,,,
20241016103220_394,1,858.0,,31.855647137447097,,,,,
20241016103556_395,1,1520.0,,32.55654557916381,,,,,
20241016103838_396,1,845.0,,25.245735113979265,,,,,
20241016103849_397,1,0.0,,0.0,,,,,
20241016103954_398,1,1100.0,,25.123332724282843,,,,,
20241016104150_399,1,0.0,,0.0,,,,,
20241016104546_403,1,5981.0,,205.86514301449077,,,,,
20241016105627_406,1,714.0,,24.186991869918696,,,,,
20241016105708_407,1,0.0,,0.0,,,,,
20241016105941_409,1,903.0,,22.85670893765662,,,,,
20241016105957_410,1,1597.0,,38.519983598253695,,,,,
20241016110058_411,1,675.0,,22.727272727272727,,,,,
20241016110328_412,1,3148.0,,102.10171250648676,,,,,
20241016110604_414,1,1009.0,,27.096704890297286,,,,,
20241016110640_415,1,766.0,,24.217515017388553,,,,,
20241016111042_416,1,1104.0,,29.158523057419046,,,,,
20241016111650_420,1,0.0,,0.0,,,,,
20241016112132_423,1,1074.0,,30.98583422290182,,,,,
20241016112422_425,1,4215.0,,149.42569483834373,,,,,
