InspectionDateAndId,less_than_sensitivity_count,mean_velocity,median_velocity,std_velocity,max_velocity,mean_acceleration,median_acceleration,std_acceleration,max_acceleration,mean_jerk,median_jerk,std_jerk,max_jerk,saccade_count,saccade_rate,saccade_distance,fixation_time,fixation_to_saccade_ratio,saccade_mean_amplitude,saccade_median_amplitude,saccade_std_amplitude,saccade_max_amplitude,saccade_mean_duration,saccade_median_duration,saccade_std_duration,saccade_mean_peak_velocity,saccade_median_peak_velocity,saccade_std_peak_velocity,saccade_mean_curvature_index,saccade_median_curvature_index,saccade_std_curvature_index,main_sequence_ratio_mean,main_sequence_ratio_std,diagonal_saccade_ratio,microsaccade_count,microsaccade_frequency,microsaccade_mean_amplitude,microsaccade_std_amplitude,microsaccade_mean_duration,microsaccade_std_duration,microsaccade_mean_peak_velocity,diagonal_microsaccade_ratio,swj_count,swj_frequency,swj_mean_amplitude,swj_std_amplitude,swj_mean_duration,swj_std_duration,fixation_count,fixation_mean_duration,fixation_std_duration,fixation_mean_dispersion_x,fixation_mean_dispersion_y,fixation_mean_bcea,fixation_max_bcea,direction_changes_45,direction_changes_90,direction_changes_135,direction_change_freq_45,direction_change_freq_90,direction_change_freq_135,angular_noise,pursuit_count,pursuit_mean_duration,pursuit_std_duration,pursuit_total_time,pursuit_time_ratio,pursuit_interruption_count,pursuit_interruption_rate,max_absolute_acceleration,velocity_complexity,fast_saccade_ratio,exploration_x_range,exploration_y_range,exploration_area,mean_distance_from_center,std_distance_from_center,center_to_periphery_transitions,exploration_entropy,low_freq_power,mid_freq_power,high_freq_power,high_to_low_freq_ratio,total_power,manhattan_distance_sum,manhattan_distance_mean,euclidean_distance_sum,euclidean_distance_mean
20241009105642_20,7.0,28.861786029714917,24.12039296022251,37.5022738064226,456.05365310415345,-26.84735611833578,0.0,2472.030984369546,24586.520828235123,2954.0338043975958,0.0,252718.3957591523,1625652.6628975132,2246,71.10069961062396,3094.902006700324,-11132.99999999999,-0.2605917325967883,3.709368976724096,1.418807200078406,9.683037056183165,70.0112647750829,81.66176470588235,54.0,69.28874161458607,84.82403493165356,64.42422512393483,52.301957117736755,2.149193321667576,1.3888703722306417,2.553441760894305,42.530158352155986,37.81386821898117,0.2769607843137255,243,7.692551204533224,0.5240952922213098,0.38834610130249825,53.13168724279836,37.240724313028245,51.3554765704654,0.18106995884773663,124,3.9254170755642788,3.002016538812237,12.33811202396902,47.943548387096776,44.858253892095036,154,83.98051948051948,1257.3787177617767,0.21896584094643506,0.1221813758925929,,,2399,1567,799,75.94415777644117,49.60587546297762,25.293614865934344,0.9354700291352235,0,0,0,0.0,0.0,0,0,24586.520828235123,1.2993746737576042,0.14512471655328799,96.36709,50.35689,4852.7469507501,30.074405014100037,12.314959236706432,12,5.07773781632796,636942.9602730148,382264.36017554544,4049238.6775838034,6.35730187809622,5068445.998032363,196787.668440038,40.55805202803751,162229.74808888207,33.43564470092376
20241009110028_22,1.0,15.305032608272858,0.0,26.221592908103084,180.89338596298393,-21.014991375960605,0.0,1732.3520211426157,6234.395436060636,1693.907681860435,0.0,198127.6025286046,684712.8544507927,505,18.162854265573298,363.1754849637672,20381.0,2.745655395392698,2.048092342404881,0.707673700090659,3.051971352352107,11.611195612415159,54.02272727272727,31.0,36.16281907527501,62.04389112186182,47.17846524701011,34.437758520714866,1.2112440213492506,1.0699868342316912,1.2379845661297635,33.139997049040346,34.87786809815068,0.23863636363636365,74,2.6614875557473745,0.4080391930932841,0.354749479031852,39.229729729729726,19.674065311289883,44.20572297328904,0.28378378378378377,9,0.3236944324557618,1.0902820041833612,0.22693468650484258,66.11111111111111,25.01308299645716,74,182.59459459459458,131.09032567010848,0.051711933232667755,0.04613240562884961,,,578,393,213,20.788375773270033,14.134656883901597,7.660768234786362,0.7441460653622234,0,0,0,0.0,0.0,0,0,6502.846967355064,1.7132660595528215,0.05143191116306254,38.24147,37.733509999999995,1442.9848906596999,17.598664227422244,5.810026048640765,2,4.2510508503240185,207324.80044499668,140494.56998940054,365588.14450402296,1.7633594423789816,713407.5149384202,37773.2706525,22.063826315712618,30167.94729635317,17.621464542262366
20241009110048_23,1.0,16.503901296333524,0.0,22.192093945621664,151.53906404428454,-21.23265320564915,0.0,1374.4598016459622,7774.830071057782,1441.3706431957419,0.0,142171.23852547383,648719.842271195,489,15.99293563579278,358.4522604970353,22640.0,2.852822580645161,2.4905622938655454,0.7254864724358595,3.526690684445908,16.43146496421074,65.8875,47.0,57.041430940589144,54.923093297963945,43.399755323224184,25.833748007209646,1.310908654492253,1.0513887766574912,1.0447611184360637,31.133171839239207,29.800673896427135,0.35,114,3.728414442700157,0.38097808343796524,0.32631654553073447,45.59649122807018,18.816621664007975,35.24137118839281,0.35964912280701755,19,0.6214024071166928,0.7454702806377206,0.18499730443317952,40.73684210526316,11.575118984329492,90,184.44444444444446,141.68361554385973,0.13444732119700203,0.12293213911255572,,,734,510,311,24.00575614861329,16.679748822605966,10.171376242804815,0.903640898265497,0,0,0,0.0,0.0,0,0,7774.830071057782,1.3446574568736556,0.042492917847025496,38.805859999999996,39.87305,1547.3079960729997,17.222618204110475,5.777938090106244,4,4.397351535319917,196255.4153607416,120733.21440641806,335805.01900931826,1.7110611617624274,652793.6487764779,37295.853148291,21.118829642293882,30535.8627970917,17.290975536292017
20241009110346_24,2.0,15.595114984086281,0.0,26.739966061575302,208.57092226718612,-19.385361477208626,0.0,1717.6412814479636,8581.353499305198,1251.8584435387957,0.0,192125.03855197877,843995.6320532488,503,18.417487459265498,352.9504715801344,19992.0,2.731520699549118,1.7068186890612165,0.569050346028936,3.1450393955385336,13.661595962885157,45.77,30.5,28.47063574983881,55.75840882666746,43.94716457381983,35.47246082320352,1.3312061691211863,1.1043047901940448,1.250835517822065,38.94244112994786,38.63729734044475,0.31,100,3.66152832192157,0.37474705172910155,0.32247105923150726,36.25,12.187185893388186,40.62451449955382,0.31,14,0.5126139650690198,0.7041255091208477,0.307722201674212,35.214285714285715,12.190034404197151,70,179.85714285714286,106.46250657448587,0.07171916198770036,0.0600058563169728,,,654,462,269,23.94639522536707,16.916260847277655,9.849511185969023,0.8486316625510304,0,0,0,0.0,0.0,0,0,8581.353499305198,1.714637313598621,0.04441846873173583,38.099000000000004,37.820840000000004,1440.9361831600004,17.314981480019778,5.708963257324085,2,4.290059292985878,221949.03591463272,142836.07661227556,365523.1475216511,1.6468787350905216,730308.2600485594,36777.915471588,21.48242726144159,29703.529497293395,17.35019246337231
20241009110727_26,7.0,14.41392740648492,0.0,21.413342686774122,197.68149746386365,-26.778865674696085,0.0,1347.114816276037,11987.508083166918,1839.8603036104294,0.0,138419.71330356784,800538.1296522657,251,7.889112396278602,224.9876471285108,27613.0,6.569831073043066,3.661355525612849,2.409528421756601,3.4445475363412963,16.077498299932145,72.13157894736842,59.0,44.76380766260053,73.7859784320248,65.2495092477627,36.89511276442525,1.5006047642678677,1.0262705199852653,1.618708025021448,39.66453898354222,64.27979518506062,0.3684210526315789,111,3.4888106613024896,0.4264696720654602,0.29892289429288876,47.95495495495496,20.422733926534104,30.003349756442656,0.2972972972972973,5,0.15715363339200403,0.5780899321554379,0.0679582631016633,57.8,15.051910177781423,73,347.0821917808219,327.48509339387664,0.20045560910372723,0.2482581938910264,,,783,507,249,24.61025898918783,15.935378425949208,7.826250942921801,0.8830740243374934,0,0,0,0.0,0.0,0,0,11987.508083166918,1.485600841665133,0.03676470588235294,39.33794,38.81363,1526.8482481222002,17.303087570068378,5.858939216212713,2,4.349861785398952,198605.7572095637,117863.43822643365,327053.9288557457,1.6467494872802042,643523.1242917429,38989.936735295,22.040665198018655,30743.10647784236,17.378805244681946
20241009110926_27,3.0,20.573466962054194,1.0861427674858748,29.620971316965026,286.6395736343005,-40.82545821633162,0.0,1620.0240660041977,8059.763906850106,1979.498344232008,0.0,158280.17118413738,993254.4580574903,683,17.290263784112195,682.5673854335427,26777.0,2.1042829076620824,2.617357400059243,1.1964664580516964,3.579174140687956,20.200325774184556,62.803030303030305,37.0,59.13293183312408,70.10777711907717,53.864937930773124,40.80385166519836,1.8639690041753445,1.1177995603347148,2.5308594360298238,45.346396847147595,44.33747583311986,0.4015151515151515,135,3.4175484785580474,0.45947578386480603,0.3017699401701751,55.28148148148148,31.333487435047022,39.52268526362975,0.48148148148148145,38,0.9619766087793022,0.7782438952486668,0.2807377275386832,50.21052631578947,33.42482365795065,112,106.45535714285714,1037.802545288368,0.1764792110642495,0.15894820931422765,,,1147,758,429,29.03650448078578,19.188901827755554,10.860209609640018,0.9239210900559014,0,0,0,0.0,0.0,0,0,12163.806442222245,1.4397656637842369,0.07012448132780083,38.50592,42.88177,1651.2020050784004,15.512194156365293,5.9996890650397035,21,4.329070410163619,461315.32181469916,263334.2193632679,656695.1176876877,1.4235276537193982,1381344.6588656548,46217.95441155,19.169620245354626,38788.29144684355,16.08805120151122
20241009110948_28,8.0,27.149752974348132,0.0,34.81046804243123,247.2331335470014,-26.084116044212916,0.0,2613.1465443370575,11849.250899776353,1961.7928725092313,0.0,304085.46441712056,1040292.2832549866,782,27.371368568428423,692.0542881221908,16647.000000000007,1.3962090078000506,1.7060205270414117,0.8778189675015138,2.5213641233466397,13.861042551905062,52.76162790697674,43.0,39.487356435701685,69.61577460765389,59.33270092444552,33.98742617480108,1.717957488573903,1.2957545529176782,2.448796403516507,41.54075586376201,36.507678050788236,0.36046511627906974,108,3.7801890094504724,0.45519958418831147,0.39185757340638144,43.03703703703704,20.61055371779671,55.696264191527916,0.4722222222222222,73,2.555127756387819,0.7033311407705027,0.20816229628593738,35.64383561643836,13.9258012858302,53,115.01886792452831,48.37256768436821,0.04556164375347276,0.033374562505410266,,,831,597,333,29.086454322716136,20.896044802240112,11.655582779138957,1.002012389376355,0,0,0,0.0,0.0,0,0,11849.250899776353,1.2821651849031983,0.1359167148640833,39.13134,50.44676,1974.0493174584,17.211286457110205,6.18362848787569,2,4.564469631376558,287402.53745884204,196411.88421452645,559069.1528409559,1.94524779698933,1042883.5745143243,37220.673247800005,21.51484002763006,29863.254420133297,17.261996774643524
20241009111206_29,8.0,13.841453108788242,0.0,18.24330843930765,120.4259527940349,-19.18292835625817,0.0,1090.993722311634,4815.289869792733,1512.606342338578,0.0,110970.22591203143,700700.721493358,248,8.301255230125523,182.3521619704212,25823.999999999996,6.374722290792396,2.8531307852374774,1.3831342443974843,3.0380941104147845,11.253903426187094,64.4390243902439,43.0,44.13175880965488,56.02291916688724,47.32899038286045,23.11967774710047,1.429624288434437,1.0449260355679189,0.9011009176713922,39.652341102151844,37.244036481370955,0.3170731707317073,101,3.3807531380753137,0.4154145246259278,0.2843131725102372,47.02970297029703,19.62593527848642,30.660534785943735,0.25742574257425743,8,0.26778242677824265,0.6399759392725779,0.10491372418352513,39.25,8.317902379807062,69,341.7391304347826,288.23946627428455,0.198634870631562,0.20527069693654984,,,681,441,250,22.794979079497907,14.761506276150628,8.368200836820083,0.899539557361437,0,0,0,0.0,0.0,0,0,6436.970015011763,1.3180197408409797,0.02733630006357279,38.26402,41.40181,1584.1996858762,17.461562767047795,5.725609172344535,2,4.623475495454372,146387.56549165226,74653.55236797774,216206.98006632968,1.4769490792485298,437248.0979259596,33686.17778287,21.401637727363404,27472.987397707642,17.454248664363178
20241009111357_31,2.0,26.737040678010878,26.020145361286854,31.219769301240955,329.05997776075003,-39.36326020418837,0.0,1948.0905801470742,9114.976984034993,1820.8648560421336,0.0,203889.6655467458,990602.9852628264,1656,41.0948705858997,1556.6580558497765,11089.999999999996,0.3797034957373231,2.73446210717531,1.0908111151962583,4.1830096057236705,25.674835859200442,68.48101265822785,45.0,71.04493332302633,70.83681130601815,55.60233897915884,40.255992030611985,1.668993175500211,1.2518621089650248,1.385105207911488,42.41241789915808,35.64600723367184,0.3829113924050633,244,6.055041318212274,0.4883016103363485,0.3346286731468745,52.34016393442623,29.035222137316076,41.522488039269184,0.3770491803278688,96,2.382311338313026,0.7092227357290936,0.32109873425088803,41.010416666666664,14.08567149599392,149,5.9865771812080535,1881.7034264343376,0.19794620022177223,0.26099114414395513,,,2229,1480,809,55.31429138645557,36.72729979899248,20.07593617390873,1.039339915104024,0,0,0,0.0,0.0,0,0,11589.707170265925,1.1676598647252974,0.1121771217712177,42.4704,51.76902,2198.650987008,15.134672139245994,6.103008121778743,25,5.211823610244729,703744.9946714839,457077.71098655893,2053819.2270949378,2.918413974729133,3214641.932752981,81175.36468992,19.96442810868667,64891.47523269131,15.959536456638295
20241009111801_32,1.0,25.98320236627993,20.698985913096635,40.77341331285463,362.8951090873995,-45.25609639723891,0.0,1692.2130628856953,7968.256494413197,3354.7447519469724,0.0,159324.58524219465,785546.194987052,538,17.406496699883526,614.9445372438761,21589.000000000004,2.3166648782058163,5.507269315554603,1.686893840050404,8.758844796044775,46.09714484448116,75.50632911392405,49.0,67.51443791538907,83.95942726925112,54.65779254847725,68.12690290217056,1.2064702187459033,1.0451777108401816,0.7317182764088893,30.19548727062871,27.80286235886035,0.3670886075949367,95,3.0736378931021093,0.47169626392938196,0.3426097088942755,53.37894736842105,30.662913978107316,37.03136739608225,0.30526315789473685,12,0.38824899702342436,0.6748475627084128,0.26035950640581296,46.0,24.228082879171435,84,166.47619047619048,81.20674323842995,0.171928399157606,0.1557467265350842,,,778,507,252,25.17147664035201,16.403520124239677,8.153228937491912,0.9577371491515817,0,0,0,0.0,0.0,0,0,12926.768006093971,1.5692220203683942,0.10752688172043011,47.81852,38.2628,1829.670467056,16.776320440332665,6.003984170900873,8,4.829471473408501,446968.5370789863,162746.97844082277,362017.7958383481,0.8099402213054964,971733.3113581571,35935.186391447,21.453842621759403,28342.16859474997,16.920697668507447
